"iteration","rule_string","coverage","coef"
1,"(((X16==1) & (X108==1)) & (X68==0))",404,NA
2,"(((X32==0) & (X53==0)) | (X105==1))",3009,NA
3,"(((X25==1) & (X70==1)) & (X65==0))",84,NA
4,"((X1==1) & (X64==0))",28,NA
5,"((X16==1) & (X94==0))",4,NA
6,"(((X57==1) & (X76==1)) & (X111==0))",6,NA
7,"(X13==0)",231,NA
8,"((X94==0) & (X104==1))",3,NA
9,"(X69==1)",9,NA
