"iteration","rule_string","coverage","coef"
1,"(((X56==1) & (X108==1)) & (X21==1))",22,NA
2,"(((X20==0) & (X70==1)) & (X111==1))",104,NA
3,"(((X28==1) & (X33==1)) & (X19==0))",20,NA
4,"(((X58==0) & (X102==1)) & (X3==1))",8,NA
