"iteration","rule_string","coverage","coef"
1,"(((X102==1) | (X108==1)) & (X22==1))",439,NA
2,"(((X4==0) & (X30==0)) & (X29==0))",2673,NA
3,"(((X76==1) | (X113==1)) & (X19==0))",294,NA
4,"(((X18==1) & (X100==0)) & (X40==0))",158,NA
5,"((X43==0) & (X102==0))",643,NA
6,"(((X43==1) & (X63==1)) & (X40==0))",16,NA
7,"(((X7==1) & (X87==0)) & (X92==0))",23,NA
8,"((X8==0) & (X73==1))",5,NA
9,"(X81==0)",123,NA
10,"(X35==0)",17,NA
