"iteration","rule_string","coverage","coef"
1,"(((X25==1) & (X49==0)) & (X47==1))",166,NA
2,"(((X28==1) & (X112==1)) & (X29==1))",70,NA
3,"(((X18==1) & (X80==1)) & (X67==1))",52,NA
4,"(((X23==0) & (X30==0)) | (X6==0))",3246,NA
5,"(((X95==1) & (X112==1)) & (X48==0))",48,NA
6,"(((X81==1) & (X105==0)) & (X23==1))",55,NA
7,"(((X16==1) & (X96==1)) & (X94==0))",6,NA
8,"((X25==1) & (X80==1))",5,NA
9,"(((X53==1) & (X102==1)) & (X86==0))",4,NA
10,"(X102==0)",370,NA
