"iteration","rule_string","coverage","coef"
1,"(((X25==1) & (X107==1)) & (X6==1))",462,NA
2,"(((X30==0) & (X109==0)) | (X24==0))",3775,NA
3,"(((X19==1) & (X39==1)) & (X86==0))",40,NA
4,"(((X25==1) & (X113==1)) & (X71==0))",9,NA
5,"(((X6==1) & (X26==1)) & (X25==1))",3,NA
6,"(X39==0)",215,NA
7,"(X27==1)",3,NA
