"iteration","rule_string","coverage","coef"
1,"(((X102==1) | (X108==1)) & (X51==1))",799,NA
2,"(((X73==0) & (X110==0)) & (X39==0))",2978,NA
3,"(((X18==1) | (X46==1)) & (X91==0))",468,NA
4,"(X29==0)",484,NA
5,"(((X50==1) | (X110==1)) & (X9==0))",77,NA
6,"(X27==0)",100,NA
7,"(((X4==1) | (X15==1)) & (X58==1))",9,NA
