"dataset","DRB_MSE","DRB_rules","CART_MSE","CART_leaves","RF_MSE","RF_rules","GBM_MSE","GBM_rules","XGB_MSE"
"boston",45.0540440410824,3,26.426327953033,10,18.7226538742822,NA,23.70410563884,NA,10.8902010209439
"concrete",144.329377001821,4,85.7593321973407,15,31.2563328697305,NA,30.132701616317,NA,22.0334708241916
"energy",12.9027616031019,3,6.69630198555898,6,1.18555469723065,NA,0.331855378518823,NA,0.111137664406117
"wine",0.512205150914626,4,0.415415316482919,10,0.30061514301422,NA,0.392327320646628,NA,0.339044136309258
"yacht",84.5377336603935,2,84.5377336603935,3,122.469456463853,NA,94.3531918134334,NA,143.001697959187
